item	LLM	COT	construct	stem	A	B	C	D
75	真人		Conscientiousness	You have finished a proposal that has to be submitted by tomorrow. The secretary usually checks these proposals for errors. What would you do?	 I would send the proposal to the secretary and I would submit it after her check. 	 As soon as the secretary sends back the proposal I would give it another quick check and then submit it. 	I would check the proposal once more before I send it to the secretary. When the secretary sends back the proposal I would give it another check and then submit it. 	 I would give it a thorough check before I send it to the secretary. When the secretary sends back the proposal I would give it another thorough check and then submit it. 
76	gpt-4-1106-preview	1.0	Honesty-Humility	During a team meeting, an employee named Sam discusses a new strategy which was actually proposed by their colleague Alex. The manager, who is unaware of the true source, expresses admiration. How should Sam respond?	Take full credit, suggesting they alone developed the idea.	Mention that it was a teamwork effort, not highlighting Alex's key role.	Give due credit to Alex but also highlight their own role in refining the idea.	Immediately correct the manager by crediting Alex as the originator of the idea.
77	gpt-4-1106-preview	1.0	Honesty-Humility	You are part of a team deciding who will lead a new high-profile project. You believe you have good ideas but know other teammates are equally capable. How do you approach the situation?	Argue that you are the best fit based on exaggerated past successes and subtly discredit others.	Privately negotiate with influential teammates to support your leadership bid in return for future favors.	Support the idea of a fair selection process where each member outlines their strengths and past contributions.	Suggest a group discussion to determine who can contribute most effectively, voicing your own skills honestly while acknowledging others' abilities.
78	gpt-4-1106-preview	1.0	Conscientiousness	As a project manager, you are faced with the challenge of delivering a crucial project under a tight deadline with limited resources. How do you handle the situation?	Ignore the urgency, prioritize personal leisure time over project time, and fail to establish a proper working schedule.	Procrastinate initially, then rush to get as much done as possible last minute.	Start working immediately with some planning but mostly adjusting as the project progresses.	List and delegate the tasks based on team members' strengths, set clear interim deadlines, and monitor progress closely.
79	gpt-3.5-turbo-0125	0.0	Honesty-Humility	You are one of the siblings involved in a heated dispute over the division of your deceased parent's estate. There are assets of significant value, including property and savings. The legal will is ambiguous in some areas, leaving room for interpretation. What would you do?	Use legal loopholes or deceitful tactics to secure a larger share of the estate.	Threaten legal action to intimidate your siblings into accepting your terms.	Negotiate with your siblings for a fair division that considers everyone's needs and contributions.	Insist on following the legal will to the letter, even if it means receiving less than what you believe is fair.
80	gpt-4-1106-preview	0.0	Agreeableness	During the family reunion dinner, when a controversial topic arises and the conversation heats up, how do you react?	Get visibly upset, criticize others’ opinions harshly, and refuse to continue the conversation.	Express your strong opinion on the matter, dismissing opposing views.	Listen to everyone’s viewpoint patiently and try to mediate a peaceful discussion.	Try to immediately change the topic to avoid any conflict and ensure everyone feels comfortable.
81	gpt-3.5-turbo-0125	1.0	Honesty-Humility	You are part of a promotion committee at work. A colleague who is up for a promotion has made a mistake that could cost them the opportunity. What would you do?	Conceal the mistake to increase your colleague's chances of promotion	Exploit the mistake to advance your own chances of getting the promotion	Advise your colleague to confess and rectify the error themselves	Inform the committee about the mistake, ensuring transparency
82	gpt-4o	1.0	Extraversion	You are at a neighborhood party where attendees are encouraged to introduce themselves and mingle with others. How do you respond?	You find a quiet corner and avoid social interactions as much as possible.	You stay close to the friends you know and only engage minimally with others.	You introduce yourself to a few people and engage in some conversations, but also spend time observing.	You enthusiastically introduce yourself to everyone and engage in conversations throughout the evening.
83	aws-claude-3-5-sonnet-20240620	0.0	Honesty-Humility	You are a regular user of an anonymous online forum where people share personal experiences. You've had a mildly interesting experience that relates to a current trending topic. How would you most likely share this on the forum?	Embellish the story significantly to make it more exciting and gain more attention	Share the story mostly accurately but exaggerate a few details to make it more engaging	Share the story accurately, focusing on the most relevant parts to the trending topic	Share the story exactly as it happened, including all details even if some are mundane
84	gpt-4o	1.0	Agreeableness	You are part of a team working on a new project strategy. The team is split on which direction to take, and the meeting is becoming tense. How do you handle the situation?	Criticize the opposing viewpoints and insist that your solution is the best.	Stand by your preferred strategy firmly and try to convince others to follow your lead.	Stay quiet and let others argue it out, only supporting the side you agree with silently.	Listen to everyone's opinions, propose a compromise solution, and encourage the team to find common ground.
85	aws-claude-3-5-sonnet-20240620	0.0	Emotionality	You are participating in a high-stakes poker game and have experienced a series of losses. The financial pressure is mounting, and other players are closely watching your reactions. How do you handle the situation?	Continue playing but start making riskier bets in an attempt to recover your losses quickly	Excuse yourself from the table, find a quiet corner, and try to calm your nerves before returning	Take a moment to assess your emotional state and adjust your betting strategy accordingly	Maintain your current strategy and focus on the game, ignoring the pressure from recent losses
86	gpt-3.5-turbo-0125	1.0	Conscientiousness	You have been assigned a project with a tight deadline. How would you approach completing the project?	Delay starting the project until the last minute and then work intensively to complete it.	Start working on the project immediately without a structured plan.	Ignore the project until the deadline approaches and hope to complete it in a hurry.	Create a detailed project plan with clear milestones and work methodically towards meeting each deadline.
87	gpt-4o	1.0	Honesty-Humility	You find a wallet on the street with a significant amount of money and the owner's ID inside. What do you do?	Take the money and discard the wallet	Keep the money and leave the wallet where it is	Return the wallet but keep a small amount of the money	Return the wallet with all the money to the owner
88	aws-claude-3-5-sonnet-20240620	1.0	Extraversion	You've been invited to a friend's birthday party at a local bar. There will be about 30 guests, including people you know and don't know. The party starts at 8 PM and will include music, dancing, and group activities. How do you approach this situation?	Send a gift but politely decline the invitation, preferring to celebrate with your friend one-on-one another time	Arrive a bit late, stay for a couple of hours, and mainly interact with people you already know	Arrive on time and participate in most activities, chatting with people you know and a few new acquaintances	Arrive early to help set up and stay until the end, actively participating in all activities and introducing yourself to new people
89	gpt-4-1106-preview	0.0	Extraversion	Imagine you are at a weekend beach party with a group of friends. The setting is lively, with music playing and people dancing. You do not know many people other than your close friends. How would you most likely spend your time at the party?	Find a quiet spot away from the crowd where you can enjoy the scenery alone or just with a very close friend.	Mostly hang back with your friends, engaging minimally with others and sticking to what feels comfortable.	Stick close to your friends most of the time but occasionally venture out to meet one or two new faces.	Spend the time introducing yourself to new people, joining in dances, and creating fun games to bring everyone together.
90	aws-claude-3-5-sonnet-20240620	0.0	Openness to Experience	You have volunteered to help organize a cultural festival for your local community center. The organizing committee is brainstorming ideas for the event. How would you most likely contribute to the planning process?	Suggest sticking to traditional festival activities that have worked well in the past	Propose a few new ideas while mainly focusing on tried-and-true event elements	Encourage exploring a mix of traditional and innovative activities for the festival	Advocate for a completely unique and experimental approach to the festival concept
91	gpt-4o	0.0	Honesty-Humility	You find a wallet on the street with a significant amount of money and the owner's ID inside. What do you do?	Take the money and discard the wallet	Keep the money and leave the wallet where it is	Return the wallet but keep a small amount of the money	Return the wallet with all the money to the owner
92	gpt-3.5-turbo-0125	1.0	Agreeableness	You are part of a team working on a project. A conflict arises between two team members regarding the next steps to take. How do you respond?	Avoid getting involved and let them sort it out themselves	Take a firm stance on a solution based on your own opinion	Support one member without considering the other's viewpoint	Listen to both perspectives and facilitate a compromise
93	aws-claude-3-5-sonnet-20240620	1.0	Emotionality	You are preparing for a crucial exam that will significantly impact your future career. It's two weeks before the exam, and despite intensive studying, you're unsure if you're adequately prepared. How do you handle this situation?	Experience some tension but maintain focus on studying, using relaxation techniques when needed.	Feel nervous but continue studying, occasionally reaching out to friends for support when feeling overwhelmed.	Remain completely calm and continue studying without any emotional distress or need for support.	Become overwhelmed with anxiety, cry frequently, and constantly seek reassurance from friends and family.
94	gpt-4o	0.0	Openness to Experience	You and your friends are planning a vacation. There are several options on the table, including visiting a new country, exploring a well-known city, or going to a familiar beach resort. How do you approach the decision?	Indifferent to the destination, as long as it’s planned and organized.	Recommend going to the familiar beach resort where you all have been and enjoyed before.	Propose visiting a well-known city where you can explore new attractions but still have some familiarity.	Suggest exploring a completely new country that none of you have visited before.
95	gpt-4-1106-preview	0.0	Conscientiousness	As a project manager overseeing a complex project, you are faced with an unexpected delay in one key deliverable that affects the entire timeline. What do you do?	Ignore the delay and hope the timeline can still be met without adjustments.	Informally mention the delay to a few stakeholders and continue to work as usual.	Organize a meeting with key team members to strategize and adjust project plans.	Proactively communicate the delay to all stakeholders, adjust project timelines, and delegate specific tasks to ensure deadlines are met.
96	gpt-4-1106-preview	0.0	Conscientiousness	A graphic designer has two weeks to complete a complex project that typically requires a month. What approach does the designer take?	Procrastinates, feeling overwhelmed and only makes significant progress a few days before the deadline.	Starts working on the project but without a clear plan, hoping it will come together as time goes.	Breaks the project into manageable sections, setting weekly targets and adjusting as necessary.	Creates a detailed project plan with daily goals to stay on track, checking progress meticulously.
97	gpt-4-1106-preview	1.0	Extraversion	At a networking event filled with industry professionals, you have the chance to make new connections. You:	Find a quiet corner to avoid interaction and wait for the event to be over	Occasionally interact with people who approach you but mainly stick to observing	Introduce yourself to a few individuals, actively engage in a couple of conversations	Actively move from group to group, introducing yourself and making numerous connections
98	gpt-3.5-turbo-0125	1.0	Conscientiousness	You are in charge of organizing a charity fundraiser event with multiple activities and guests expected. How do you approach the planning process?	Decide to plan last minute, hoping for the best and dealing with issues as they arise	Make a rough plan but mostly go with the flow, adapting as needed during the event	Come up with a general outline but leave most of the planning to others, only intervening when necessary	Create a detailed schedule, assign tasks to team members, and follow up regularly to ensure everything runs smoothly
99	gpt-3.5-turbo-0125	1.0	Extraversion	You are at a company party where you have the opportunity to meet new colleagues and network. What do you do?	You avoid introducing yourself to new people, stay with a small group of known colleagues, and don't participate in activities.	You stick with familiar faces, have a couple of conversations, and participate in one or two activities.	You introduce yourself to a few new people and engage in some conversations, participating in a few activities.	You actively introduce yourself to many new people, engage in conversations, and participate in all the social activities.
100	gpt-4o	1.0	Honesty-Humility	You find a wallet with a significant amount of money in the office. What do you do?	You take the money from the wallet and then leave it where you found it.	You check the contents of the wallet, take a little money for yourself, and then turn it in to the lost and found.	You leave the wallet where it is, hoping someone else will deal with it.	You take the wallet to the lost and found immediately without checking its contents.
101	gpt-4o	1.0	Openness to Experience	During a team meeting, your manager asks everyone to brainstorm ideas for a new project aimed at increasing community engagement. How do you respond?	You wait to hear others' ideas first and then offer a slight variation on a suggested idea.	You propose organizing a series of traditional community fairs with booths showcasing local businesses.	You recommend exploring partnerships with local artists to create public art installations that reflect community culture.	You suggest an idea involving virtual reality experiences to showcase community stories in an immersive way.
102	gpt-4-1106-preview	0.0	Emotionality	You are at a company meeting when suddenly asked to give an impromptu speech about your department's progress. You only have a few minutes to prepare. How do you react?	Remain calm, quickly outline your thoughts, and confidently volunteer to go first, seeing it as a challenge.	Feel slightly nervous but try to jot down key points, willing to give it a try despite feeling slightly unprepared.	Indifferent about the task, decide to wing it without preparation, believing it's not a big deal.	Panic and feel overwhelmed, unable to organize your thoughts clearly, and consider making an excuse to avoid speaking.
103	真人		Openness to Experience	The company closed a deal with a client from Norway and asks who would like to be involved on the project. That person would have to learn some things about Norway. What would you do?	 I would not volunteer, because I am not interested in learning more about the history and culture of another country. 	If nobody else volunteers, I would do it, even though I am not very interested in learning more about the history and culture of another country. 	 If nobody else volunteers, I would do it, because I would find it kind of interesting to learn more about the history and culture of another country. 	 I would volunteer, because I would find it interesting to learn more about the history and culture of another country. 
104	真人		Honesty-Humility	Your supervisor compliments you on a report that was actually written by one of your colleagues. What would you do?	 I would thank my supervisor and leave it at that. 	 I would thank my supervisor and tell that someone else has worked hard on it as well. 	I would accept the compliment, but indicate that most of the report has been written by someone else. 	 I would not accept the compliment and tell who has actually written the report. 
105	gpt-3.5-turbo-0125	1.0	Extraversion	You are participating in a workplace team-building activity where you need to work collaboratively with your colleagues to complete a task. What would you do?	Work independently on your assigned task without much interaction with others	Observe how the group is progressing and offer help when needed	Avoid being directly involved in the group activity and focus on finishing the task individually	Take charge of the group, delegate tasks, and facilitate communication
106	aws-claude-3-5-sonnet-20240620	0.0	Openness to Experience	Your local community center has announced a series of free evening classes in various subjects, including both traditional and unconventional topics. How would you most likely respond to this opportunity?	Ignore the announcement as you're not interested in taking any classes.	Sign up for one familiar class that aligns with your existing interests.	Register for a mix of familiar and new subjects that pique your curiosity.	Enthusiastically sign up for multiple classes, especially the most unique and unconventional ones.
107	真人		Agreeableness	A coworker of the department that you are supervising made an important phone call with a client. You had told the coworker in advance that this was not his task and that you would make the phone call yourself. The phone call with the client was unsuccessful and now you have missed out on an important deal. What would you do?	 I would be terribly upset about the fact that he made the phone call behind my back and about losing the client. I would firmly address him and tell him that his actions have consequences. 	 I would ask the coworker to come to my office and calmly tell him that I do not appreciate his actions. 	I would ask the coworker to come to my office. I would tell him that I forgive him and ask what went wrong during the phone call. 	 I would explain that coworkers find it important to have these kinds of phone calls with their own clients. I decide to give a negotiations training to all coworkers. 
108	真人		Agreeableness	It appears that your colleague has requested holiday leave for the same week as you. According to your supervisor one of you has to take a different week because it would be too busy at work if both of you are absent. Your colleague is not willing to change his holiday plans. What would you do?	 I would not change my holiday plans either. If my colleague is not willing to help find a solution, I am not willing to either. Your supervisor has to find a way to solve it. 	 I would not let my colleague walk over me. If my colleague has a really good reason for why he cannot change his holiday plans, I might reconsider taking a different week, but only then. 	I would carefully try to talk to my colleague about the matter, but if after this my colleague would still not be willing to change his holiday plans, I will adjust my plans. 	 I would find it annoying to change my holiday plans, but I would take a different week to prevent having a discussion with my colleague. 
109	gpt-4o	0.0	Extraversion	You are at a company social event where employees are encouraged to network and interact with each other. How do you behave in this situation?	I find a quiet corner and avoid interacting with others as much as possible.	I stay close to colleagues I know and occasionally participate in discussions.	I join a small group and engage in conversations but do not go out of my way to meet new people.	I actively approach and introduce myself to as many people as possible, initiating conversations and participating in group discussions.
110	gpt-4-1106-preview	1.0	Extraversion	Imagine you are at a weekend beach party with a group of friends. The setting is lively, with music playing and people dancing. You do not know many people other than your close friends. How would you most likely spend your time at the party?	Find a quiet spot away from the crowd where you can enjoy the scenery alone or just with a very close friend.	Mostly hang back with your friends, engaging minimally with others and sticking to what feels comfortable.	Stick close to your friends most of the time but occasionally venture out to meet one or two new faces.	Spend the time introducing yourself to new people, joining in dances, and creating fun games to bring everyone together.
111	真人		Extraversion	On your first workday at a new company, there are a lot of new colleagues with whom to get acquainted. What would you do?	 I would try to get to know the workplace first, after which I would introduce myself to my colleagues. 	 I would quickly shake hands with my colleagues after which I would get to know the workplace. 	I would have a chat with all the colleagues after which I would try to get to know the workplace. 	 I would try to get to know all the colleagues right away after which I would try to get to know the workplace. 
112	gpt-4-1106-preview	1.0	Emotionality	At a family gathering, a controversial topic is brought up that leads to heated discussions. How do you react?	You remain mostly unaffected and engage calmly in the discussion, providing logical arguments.	You feel somewhat uncomfortable but try to listen and occasionally provide your thoughts.	You become highly anxious and try to avoid the conversation, visibly upset.	You take control of the discussion, guiding the conversation to less controversial topics without showing any stress.
113	gpt-3.5-turbo-0125	0.0	Honesty-Humility	You are part of a team working on a project that requires allocating limited resources among team members. You have the authority to assign resources. One of your team members, who has been performing exceptionally well, requests additional resources to complete their part of the project.	Allocate additional resources only if the team member agrees to take on additional responsibilities without extra compensation.	Deny the request to maintain equal distribution among team members.	Allocate additional resources but ensure that all team members receive a fair share.	Allocate additional resources based on the team member's performance.
114	gpt-3.5-turbo-0125	1.0	Emotionality	You are part of a team working on a project with a tight deadline. The project is crucial for the company's success. A challenging issue arises, causing stress among team members. How do you respond?	Take a break to compose yourself before calmly addressing the issue with the team.	Seek emotional support from colleagues and express your anxieties openly.	Push through despite feeling overwhelmed, emphasizing the importance of meeting the deadline.	Stay calm and focused on finding solutions independently, avoiding displaying any emotional distress.
115	aws-claude-3-5-sonnet-20240620	1.0	Agreeableness	You've received a smartphone with a scratched screen. How do you approach the customer service representative?	Demand an immediate refund and threaten legal action if not provided	Firmly insist on a replacement, refusing any other solution	Calmly explain the situation and ask about possible solutions	Politely describe the issue and express willingness to work towards a mutually beneficial resolution
116	gpt-3.5-turbo-0125	1.0	Extraversion	You are part of a team working on a project that requires collaboration and communication. Your team leader assigns tasks to each team member. You are tasked with presenting the findings to the group. How do you approach this situation?	Feel uncomfortable with the idea of presenting to the group and hope someone else will take on the task	Volunteer to assist with the presentation but prefer to take a supporting role rather than leading the presentation	Work independently on the presentation, focusing on gathering information and preparing a detailed report to present to the group	Take charge of organizing the presentation, engaging with team members for input, and delivering the presentation confidently
117	aws-claude-3-5-sonnet-20240620	0.0	Emotionality	You are preparing for a crucial exam that will significantly impact your future career. It's two weeks before the exam, and despite intensive studying, you're unsure if you're adequately prepared. How do you handle this situation?	Experience some tension but maintain focus on studying, using relaxation techniques when needed.	Feel nervous but continue studying, occasionally reaching out to friends for support when feeling overwhelmed.	Remain completely calm and continue studying without any emotional distress or need for support.	Become overwhelmed with anxiety, cry frequently, and constantly seek reassurance from friends and family.
118	gpt-3.5-turbo-0125	1.0	Conscientiousness	You are working on a team project with a tight deadline approaching. Your supervisor assigns you an additional task that needs to be completed within the same timeframe as your existing workload. What do you do?	Delay starting the new task until you have completed your original workload, risking potential delays in completing all tasks on time.	Start working on the new task without re-evaluating your current workload, trusting that you can manage both tasks concurrently.	Complete the original tasks first and then evaluate the new task, possibly seeking help if needed to manage the workload effectively.	Immediately create a detailed plan to prioritize tasks, ensuring both the original workload and the new task are completed on time.
119	真人		Honesty-Humility	Last month’s salary got transferred to your bank account. When you look at your bank account you notice that you have received 500 euro too much. What would you do?	 This is the company’s mistake for which I am not responsible and therefore I would keep the 500 euro. 	 I would ask my colleagues if they also received too much salary and how they are thinking of solving this. If they did not receive too much salary, I will keep the money. 	I would call my supervisor to indicate that I received too much money in my bank account and ask him what to do. 	 I would transfer the money back to the company’s back account right away. 
120	aws-claude-3-5-sonnet-20240620	0.0	Emotionality	Your close friend has invited you to a horror movie premiere next week. How do you respond?	Enthusiastically accept, looking forward to the adrenaline rush and discussing the movie afterwards.	Accept the invitation but express your concerns, asking your friend to sit next to you for support.	Politely decline the invitation, explaining that you don't enjoy horror movies and would feel too anxious.	Agree to go but plan to distract yourself during the scariest parts by focusing on technical aspects of the film.
121	gpt-3.5-turbo-0125	1.0	Agreeableness	Your friend cancels plans with you last minute. How do you react?	React with anger and hold a grudge	Ignore the situation and make other plans	Confront your friend about their behavior	Express understanding and suggest rescheduling
122	gpt-3.5-turbo-0125	1.0	Extraversion	You are attending a networking event where you don't know many people. How do you typically approach the situation?	Feel uncomfortable and decide to leave early	Sit in a corner and observe others from a distance	Find a familiar face and stick with them throughout the event	Immediately start introducing yourself to new people
123	gpt-4o	0.0	Openness to Experience	You are part of a marketing team tasked with developing a new strategy for a product launch. The team is brainstorming various ideas. How do you contribute?	Remain silent and go along with whatever the team decides, showing no particular interest.	Recommend sticking to the tried-and-true methods that have worked in the past.	Propose a creative idea that combines elements of successful past strategies with some new twists.	Suggest a completely new and unconventional approach that no one has tried before.
124	aws-claude-3-5-sonnet-20240620	1.0	Conscientiousness	You are Alex, an employee at a software development company, faced with completing three projects within two weeks. How would you approach this situation?	Work on whichever project feels most urgent each day, switching between them as needed.	Prioritize the most important project and work on it exclusively until it's finished, then move on to the others.	Make a general plan for tackling all projects but remain flexible, adjusting your focus daily based on progress and emerging issues.	Create a detailed schedule allocating time for each project based on its complexity and importance, and stick to it rigorously.
125	gpt-3.5-turbo-0125	0.0	Openness to Experience	Your group of friends is deciding on an activity for the weekend. You can either visit a newly opened art exhibit that showcases unconventional and innovative pieces or go to your usual hangout spot where you know what to expect. What do you suggest?	Strongly advocate for the usual hangout spot, expressing disinterest in the art exhibit.	Suggest sticking to the usual hangout spot because it is comfortable and familiar.	Propose visiting the art exhibit but mention that you are also fine with the usual hangout if others prefer.	Suggest visiting the new art exhibit because it sounds exciting and different.
126	aws-claude-3-5-sonnet-20240620	0.0	Conscientiousness	You are Alex, an employee at a software development company, faced with completing three projects within two weeks. How would you approach this situation?	Work on whichever project feels most urgent each day, switching between them as needed.	Prioritize the most important project and work on it exclusively until it's finished, then move on to the others.	Make a general plan for tackling all projects but remain flexible, adjusting your focus daily based on progress and emerging issues.	Create a detailed schedule allocating time for each project based on its complexity and importance, and stick to it rigorously.
127	aws-claude-3-5-sonnet-20240620	1.0	Agreeableness	You are at a restaurant and receive the wrong order, which is more expensive than what you originally ordered. The restaurant is busy, you've been waiting for 30 minutes, and you're hungry. What would you most likely do?	Demand to speak to the manager and insist on both the correct order and a discount for the inconvenience.	Firmly insist that the waiter fix the mistake immediately and bring you the correct order at the original price.	Accept the wrong order without complaint, not wanting to cause any trouble for the busy staff.	Calmly explain the mistake to the waiter and politely ask for the correct order, offering to wait if needed.
128	gpt-3.5-turbo-0125	0.0	Conscientiousness	You are assigned to manage household chores for the week. Each family member has specific tasks to complete. Your task is to ensure all chores are done by the end of the week.	Leave the chore assignments entirely to each family member's discretion without any structured plan.	Decide to handle most tasks yourself but leave others to family members to complete as they remember.	Make a mental note of tasks and remind family members verbally about their responsibilities periodically.	Create a detailed schedule at the beginning of the week and assign specific tasks to each family member, setting reminders to check progress daily.
129	真人		Emotionality	During a personal conversation, one of your team members tells you that she and her partner are having a divorce. She is very emotional. What would you do?	 I would listen and feel very bad for her, but would not get emotional myself. 	 I would listen and sympathize with her, but I would not get emotional myself. 	I would listen and sympathize with her and would get teary eyes. 	 I would listen and would personally feel her pain and (almost) start to cry myself. 
130	aws-claude-3-5-sonnet-20240620	0.0	Conscientiousness	You are Alex, responsible for organizing a community park clean-up event next month. Given your full-time job and lack of experience in event planning, how would you approach this task?	Wait until the week before the event to start planning, figuring you can pull it together quickly if needed.	Create a basic to-do list and work on tasks as you remember them, fitting them in around your other commitments.	Make a general plan and start working on some tasks, adjusting your approach as you go along.	Develop a detailed project plan with timelines, delegate tasks to volunteers, and set regular check-ins to monitor progress.
131	aws-claude-3-5-sonnet-20240620	0.0	Agreeableness	You're at a restaurant with friends. The waiter has been inattentive, got your order wrong, and has been slow to refill drinks. As you're about to pay the bill, how do you handle the situation?	Complain to the manager, demand a discount, and leave no tip	Pay the full bill but leave no tip and make a curt comment to the waiter about the poor service	Pay the full bill, leave a small tip, and provide constructive feedback on the comment card	Pay the full bill, leave a normal tip, and kindly mention the issues to the waiter for future improvement
132	aws-claude-3-5-sonnet-20240620	0.0	Honesty-Humility	You find a wallet containing $500 and the owner's identification on a busy street. What would you most likely do?	Keep the money and discard the wallet	Keep the money but mail the wallet back to the owner without it	Keep a small 'finder's fee' (e.g., $50) and return the rest with the wallet	Return the wallet with all its contents intact to the owner or police station
133	aws-claude-3-5-sonnet-20240620	1.0	Openness to Experience	Your local community center has introduced several new classes, including experimental art techniques, uncommon foreign languages, and fusion dance styles. How would you respond to this opportunity?	Ignore the new offerings and stick to your usual activities or routines.	Consider taking a class only if a friend or family member agrees to join you.	Browse the class list and choose one that seems interesting but not too far out of your comfort zone.	Immediately sign up for multiple classes, excited to try as many new experiences as possible.
134	gpt-4-1106-preview	1.0	Conscientiousness	As a project manager overseeing a complex project, you are faced with an unexpected delay in one key deliverable that affects the entire timeline. What do you do?	Ignore the delay and hope the timeline can still be met without adjustments.	Informally mention the delay to a few stakeholders and continue to work as usual.	Organize a meeting with key team members to strategize and adjust project plans.	Proactively communicate the delay to all stakeholders, adjust project timelines, and delegate specific tasks to ensure deadlines are met.
135	gpt-4o	1.0	Extraversion	You are at a team-building activity at work where employees are participating in various group games and discussions. How do you typically behave in this situation?	I avoid participating in the games and discussions as much as possible and try to find a quiet corner.	I stay on the sidelines, participating only when necessary, and prefer to observe rather than engage.	I participate in some games and discussions but prefer to listen more than speak.	I actively participate in all the games, engage in discussions, and enjoy interacting with my colleagues.
136	aws-claude-3-5-sonnet-20240620	1.0	Agreeableness	You're at a restaurant with friends. The waiter has been inattentive, got your order wrong, and has been slow to refill drinks. As you're about to pay the bill, how do you handle the situation?	Complain to the manager, demand a discount, and leave no tip	Pay the full bill but leave no tip and make a curt comment to the waiter about the poor service	Pay the full bill, leave a small tip, and provide constructive feedback on the comment card	Pay the full bill, leave a normal tip, and kindly mention the issues to the waiter for future improvement
137	gpt-4-1106-preview	1.0	Agreeableness	You notice that a coworker consistently turns in their part of the team project late, which affects the whole team's performance. What do you do?	Confront the coworker harshly in front of the team and demand they meet deadlines.	Report the issue to your manager without talking to the coworker to avoid direct conflict.	Discuss the issue in a team meeting to find a collective solution without directly blaming anyone.	Talk to the coworker privately, express understanding, and offer help if they're facing difficulties.
138	gpt-4o	1.0	Agreeableness	During an online gaming session, one of your teammates keeps making mistakes that are costing your team the game. How do you respond?	You express frustration and decide to leave the game early.	You criticize your teammate for their repeated errors.	You suggest taking a short break to regroup and discuss strategies.	You calmly explain the mistakes to your teammate and offer tips to improve.
139	gpt-4-1106-preview	0.0	Agreeableness	During the team meeting when the disagreement arises, how do you react?	Dismiss opposing views as inefficient, insist on following your proposed plan without discussion, and show irritation towards any further debate.	Argue for your viewpoint, showing some flexibility but primarily pushing for your idea and expressing frustration if others do not agree.	Listen to all opinions, propose a vote for the most popular direction, and offer to help execute the majority's decision, even if it's not your preference.	Calmly acknowledge everyone's views, suggest a collective brainstorming session to find a compromise, and offer to mediate the discussion, ensuring all voices are heard.
140	gpt-3.5-turbo-0125	1.0	Agreeableness	You are a customer service representative handling a complaint from an upset customer. The customer is being aggressive in their tone and demanding immediate resolution. How do you respond?	Defend the company's stance and explain policies firmly and assertively	Ignore the customer's tone and continue with standard protocols	Respond sternly and ask the customer to calm down before proceeding	Apologize and offer a resolution while maintaining a calm and patient demeanor
141	aws-claude-3-5-sonnet-20240620	0.0	Extraversion	It's your first day at a new job in a busy open office. After being introduced to the team, what do you do?	Keep to yourself, diving into work and minimizing interactions until absolutely necessary.	Focus on setting up your workstation, occasionally making eye contact and smiling at passing colleagues.	Settle into your desk and wait for colleagues to approach you, responding warmly when they do.	Immediately start conversations with nearby colleagues, introducing yourself and asking about their roles.
142	gpt-4o	0.0	Openness to Experience	During a team meeting, your manager asks everyone to brainstorm ideas for a new project aimed at increasing community engagement. How do you respond?	You wait to hear others' ideas first and then offer a slight variation on a suggested idea.	You propose organizing a series of traditional community fairs with booths showcasing local businesses.	You recommend exploring partnerships with local artists to create public art installations that reflect community culture.	You suggest an idea involving virtual reality experiences to showcase community stories in an immersive way.
143	gpt-3.5-turbo-0125	0.0	Honesty-Humility	You and your siblings have inherited a valuable family heirloom. How do you approach the decision of how to divide it?	Persuade others to let you have it	Manipulate the situation to claim a larger share	Refuse to participate in the decision-making process	Share it equally among all siblings
144	gpt-4o	0.0	Emotionality	During a family gathering, a close relative announces that they have been diagnosed with a serious illness. How do you react?	You remain stoic and unemotional, focusing on staying strong and not showing any signs of distress.	You acknowledge the news and feel sad but maintain a composed demeanor, reassuring others without seeking support.	You feel concerned but try to stay calm and offer practical support without showing much emotion.	You immediately feel anxious and overwhelmed, and seek comfort from other family members.
145	gpt-3.5-turbo-0125	0.0	Extraversion	You are at a company party where you have the opportunity to meet new colleagues and network. What do you do?	You avoid introducing yourself to new people, stay with a small group of known colleagues, and don't participate in activities.	You stick with familiar faces, have a couple of conversations, and participate in one or two activities.	You introduce yourself to a few new people and engage in some conversations, participating in a few activities.	You actively introduce yourself to many new people, engage in conversations, and participate in all the social activities.
146	gpt-4-1106-preview	1.0	Honesty-Humility	During a company team meeting, the topic of how to distribute a recent bonus pool comes up. Team members have the opportunity to voice their opinions on how the bonus should be shared.	Advocates for keeping the largest share for oneself citing personal financial difficulties as a reason, regardless of fairness.	Recommends giving a larger share to senior team members and less to newer ones, arguing experience should be rewarded.	Suggests distributing based on hours worked, using factual data but ensuring those with extra effort are recognized fairly.	Proposes an equal share for everyone, highlighting fairness and team cohesion.
147	gpt-4-1106-preview	0.0	Openness to Experience	You have two weeks off work and an ample budget for a vacation. You are exploring possible destinations.	Choose a well-known local resort that you've visited before and enjoyed	Select a popular tourist destination abroad that you've read about but not visited	Plan a trip to a remote village in a country you've never visited	Embark on a guided exploration tour of a recently discovered island
148	gpt-3.5-turbo-0125	1.0	Honesty-Humility	You and your siblings have inherited a valuable family heirloom. How do you approach the decision of how to divide it?	Persuade others to let you have it	Manipulate the situation to claim a larger share	Refuse to participate in the decision-making process	Share it equally among all siblings
